ID,Name,Description,Cost,Sell,Infectivity,Lethality,Visibility,Heat Resistance,Cold Resistance,Wet Resistance,Dry Resistance,Medicinal Resistance,Water Transmission,Air Transmission,Previous,Next,Image
0,Sneezing,Sneezing allows your disease to spread easier but also brings it some attention.,2,4,3,0,1,0,0,0,0,0,0,0,,8,perk_lung.png
1,Coughing ,Coughing allows your disease to spread easier but also brings it some attention.,3,5,5,0,2,0,0,0,0,0,0,0,,13,perk_lung.png
2,Nausea,Nausea allows your disease to spread through mouth to mouth contact and draws some attention to it.,2,2,1,1,1,0,0,0,0,0,0,0,,5,perk_stomach.png
3,Rash,People avoid the infected more but they are more contagious. And more visible.,3,5,3,1,4,0,0,0,0,0,0,0,,11and12,perk_simplebody.png
4,Dehydration,Dehydration can be deadly and is slightly noticeable.,3,3,0,3,2,0,0,0,0,0,0,0,,6and9,perk_body.png
5,Vomiting,Vomiting brings a lot of attention but also can make the infected frail and weak.,6,9,2,5,5,0,0,0,0,0,0,0,2,,perk_stomach.png
6,Dizziness,Dizziness can lead to dangerous accidents!,5,6,0,1,1,0,0,0,0,0,0,0,4,,perk_cracked_head.png
7,Fatigue,Fatigue weakens the immune system of the infected.,5,6,0,1,1,0,0,0,0,0,0,0,,10,perk_cracked_head.png
8,Fever,Fevers can be deadly.,6,7,2,4,3,0,0,0,0,0,0,0,0,14,perk_body.png
9,Diarrhea ,Diarrhea and its dehydrating effects can be deadly and can spread infection to the water supply.,7,9,7,6,4,0,0,0,0,0,0,0,4,,perk_intestines.png
10,Insomnia,Insomnia weakens immune system responses.,6,6,2,5,2,0,0,0,0,0,0,0,7,17,perk_cracked_head.png
11,Lesions,Lesions can cause open wounds leading to death and spread of infection.,6,9,6,6,7,0,0,0,0,0,0,0,3,,perk_simplebody.png
12,Cysts,Cysts hold pathogens and can burst and spread the disease.,6,8,4,4,6,0,0,0,0,0,0,0,3,,perk_simplebody.png
13,Pulmonary Obstruction,This is a very deadly symptom long term. Limited breathing and lung damage are very visible however.,8,10,6,20,25,0,0,0,0,0,0,0,1,18and19,perk_lung.png
14,Inflammation,Inflammation is harmful and disrupting for many bodily processes. Can be deadly,9,11,6,10,9,0,0,0,0,0,0,0,8,15,perk_body.png
15,Paralysis,Paralysis is deadly but makes it much less likely for infected to infect others.,17,20,-2,20,30,0,0,0,0,0,0,0,14,16,perk_body.png
16,Coma,Comas are very deadly and make it much less likely for infected to infect others.,30,40,-15,40,50,0,0,0,0,0,0,0,15,,perk_body.png
17,Delirium,Delerium comes after not sleeping for way too long. It is very dangerous and very noticeable.,15,17,-3,15,20,0,0,0,0,0,0,0,10,,perk_cracked_head.png
